Sl.No ,STATE,District,Recharge from Rainfall during Monsoon season(Ham),Recharge From Other Sources during monsoon season(Ham),Recharge from Rainfall during non-monsoon season(Ham),Recharge From Other Sources during non-monsoon season(Ham),Annual Replenishable resources(Ham),Annual Natural Discharge (Ham),Net Annual Ground Water Availability  (Ham),Draft due to Irrigation Needs(Ham),Draft due to Domestic & Industrial Water Supply Needs(Ham),Total annual Draft(Ham),Projected demand for Domestic and Industrial uses  upto 2025 (Ham), Ground Water Availability for Future Irrigation use (Ham),Stage of Ground Water Develop ment (%) 
1,ANDHRA PRADESH,Srikakulam,40417,38297,24646,19754,123115,11733,111382,38291,4504,42795,17584,62902,38
2,ANDHRA PRADESH,Vizianagaram,42539,22254,28250,7492,100534,8936,91598,16894,918,17812,6116,68723,19
3,ANDHRA PRADESH,Visakhapatnam,73586,5905,13328,5271,98090,8636,89454,13442,4485,17927,12541,63470,20
4,ANDHRA PRADESH,East Godavari,69958,37094,38290,24618,169960,16007,153953,33967,9075,43042,14482,106654,28
5,ANDHRA PRADESH,West Godavari,58870,42876,23364,45290,170399,16033,154366,59783,967,60750,10080,85823,39
6,ANDHRA PRADESH,Krishna,47059,63644,22479,17616,150798,14502,136296,45270,9539,54809,9539,82026,40
7,ANDHRA PRADESH,Guntur,37569,83241,24505,18180,163499,15955,147544.1843,40902,6545,47447,14685,100727,32
8,ANDHRA PRADESH,Prakasam,57624,20460,25579,68527,172190,16194,155996.3639,50627,2120,52747,9677,100062,34
9,ANDHRA PRADESH,Nellore,160189,36313,772,85132,282406,25677,256729,74470,5804,80274,9535,172725,31
10,ANDHRA PRADESH,Chittoor,134147,15718,9185,23505,182555,17673,164882,100549,17147,117696,18817,47341,71
11,ANDHRA PRADESH,Kadapa,47303,9645,38097,14720,109765,10507,99258,63987,5780,69767,9456,27016,70
12,ANDHRA PRADESH,Anantapur,70802,19520,43047,31393,164762,15225,149537,129642,10730,140372,18684,34765,94
13,ANDHRA PRADESH,Kurnool,56720,30261,29164,35273,151418,14353,137065,61274,3688,64962,13214,68736,47
14,ARUNACHAL PRADESH,Tirap,7208,0.07,2044,0.1,9252.17,925,8327.17,2.8,17.8,20.6,57,8267.37,0.247382964
15,ARUNACHAL PRADESH,Changlang,20761,17.83,6907,26.74,27712.57,2771,24941.57,25.5,98.7,124.2,204,24712.07,0.497963841
16,ARUNACHAL PRADESH,Lohit,142890,0,52307,0,195197,19520,175677,5.3,252.8,258.1,1081,174590.7,0.146917354
17,ARUNACHAL PRADESH,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0
18,ARUNACHAL PRADESH,Dibang valley,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ARUNACHAL PRADESH,Lower Dibang Valley,70406,0,24947,0,95353,9535,85818,33.5,48,81.5,161,85623.5,0.094968422
20,ARUNACHAL PRADESH,East Siang,60304,8.07,14949,12.1,75273.17,7527,67746.17,70.6,179,249.6,366,67309.57,0.368434112
21,ARUNACHAL PRADESH,West Siang,4936,0.53,1286,0.53,6223.06,622,5601.06,0,25,25,10,5591.06,0.446344085
22,ARUNACHAL PRADESH,Upper Siang,NA,0,0,0,0,NA,0,0,0,0,0,0,0
23,ARUNACHAL PRADESH,East Kameng,13364,0,3030,0,16394,1639,14755,15,2.5,17.5,14,14726,0.118603863
24,ARUNACHAL PRADESH,West Kameng,1406,0.21,344,0.31,1750.52,175,1575.52,0,0,0,7,1568.52,0
25,ARUNACHAL PRADESH,Lower Subansiri,1761,0.05,803,0.05,2564.1,256,2308.1,5,0,5,12,2291.1,0.216628396
26,ARUNACHAL PRADESH,Upper Subansiri,228,0,105,0.1,333.1,33,300.1,0,0,0,0,300.1,0
27,ARUNACHAL PRADESH,Papum Pare,10727,0,2504,26.74,13257.74,1325.7,11932.04,57.5,83.9,141.4,110,11764.54,1.185044636
28,ARUNACHAL PRADESH,Tawang,0,0,0,0,0,0,0,0,0,0,0,0,0
