Sl.No ,STATE,District,Recharge from Rainfall during Monsoon season(Ham),Recharge From Other Sources during monsoon season(Ham),Recharge from Rainfall during non-monsoon season(Ham),Recharge From Other Sources during non-monsoon season(Ham),Annual Replenishable resources(Ham),Annual Natural Discharge (Ham),Net Annual Ground Water Availability  (Ham),Draft due to Irrigation Needs(Ham),Draft due to Domestic & Industrial Water Supply Needs(Ham),Total annual Draft(Ham),Projected demand for Domestic and Industrial uses  upto 2025 (Ham), Ground Water Availability for Future Irrigation use (Ham),Stage of Ground Water Develop ment (%) 
318,MADHYA PRADESH,Jabalpur,53095.45,2668.53,980.43,6627.1,63371.51,3169.37,60202.14,25989.84,3500.83,29490.67,5198,29014.3,49
319,MADHYA PRADESH,Jhabua,21844.53,787.69,0,2184.05,24816.27,1240.31,23575.96,9000.64,2542.3,11542.94,5689.44,8885.88,49
320,MADHYA PRADESH,Katni,35274.65,1841.98,0,4802.18,41918.81,2095.59,39823.22,13609.97,2640.66,16250.63,4528,21685.25,41
321,MADHYA PRADESH,Khargone,59372.35,3184.01,0,12771.42,75327.78,3713.65,71614.13,48826.49,3698.67,52525.16,5923.44,16864.2,73
322,MADHYA PRADESH,Khandwa,70273.8,2012.27,0,10446.48,82732.55,4136.82,78595.73,48690.44,2934.56,51625,4976,24929.29,66
323,MADHYA PRADESH,Mandla,49542.28,854.68,6601.47,3815.77,60814.2,2867.25,57946.95,6090.69,2405.35,8496.04,3359.61,48496.65,15
324,MADHYA PRADESH,Mandsaur,46294.84,2459.51,0,11364.78,60119.13,3005.96,57113.17,54142.79,2979.39,57122.18,3352.55,-382.17,100
325,MADHYA PRADESH,Morena,42924.13,868.68,694.25,20366.68,64853.74,3254.6,61599.14,19609.61,4487.31,24096.92,9549.51,32440.02,39
326,MADHYA PRADESH,Neemuch,31855.76,3758.56,0,7610.23,43224.55,2161.23,41063.32,32576.45,1644.67,34221.12,1973,6513.87,83
327,MADHYA PRADESH,Narsinghpur,110324.93,3673.57,0,17905.89,131904.39,6595.25,125309.14,81427.18,2222.12,83649.3,3066.08,40815.88,67
328,MADHYA PRADESH,Panna,53572.84,732.98,0,3017.86,57323.68,2866.18,54457.5,13326.22,1915.83,15242.05,3536,37595.28,28
329,MADHYA PRADESH,Raisen,82252.15,3143.19,0,8999.3,94394.64,4656.72,89737.92,37548.25,3310.34,40858.59,4412,47777.67,46
330,MADHYA PRADESH,Rajgarh,83148.57,3719.62,0,11829.17,98697.36,4934.87,93762.49,71529.52,3165.76,74695.28,4811.23,17421.74,80
331,MADHYA PRADESH,Ratlam,57659.69,4955.58,0,18595.7,81210.97,4060.54,77150.43,95656.9,2592.92,98249.82,3268.51,-21774.98,127
332,MADHYA PRADESH,Rewa,50181.32,1272.86,3571.69,10017.67,65043.54,3184.23,61859.31,26197.55,5028.44,31225.99,6205,29456.76,50
333,MADHYA PRADESH,Satna,47623.63,2879.56,3248.95,10951.52,64703.66,3322.85,61380.81,39664.57,4793.54,44458.11,6459.35,15256.89,72
334,MADHYA PRADESH,Sagar,108423.48,3640.5,0,15607.78,127671.76,6383.6,121288.16,70597.54,3013.65,73611.19,8255,42435.62,61
335,MADHYA PRADESH,Sehore,67863.68,3918.88,0,14792.49,86575.05,4328.75,82246.3,50999.57,2375.16,53374.73,5787,25459.73,65
336,MADHYA PRADESH,Seoni,72003.21,1475.54,3608.77,4878.39,81965.91,4098.17,77867.74,20440.37,3210.04,23650.41,9115.39,48311.98,30
337,MADHYA PRADESH,Shahdol,59265.54,236.48,7158.85,986.92,67647.79,3380.31,64267.48,2420.92,2107.21,4528.13,5283,56563.56,7
338,MADHYA PRADESH,Shajapur,49259.82,2849.13,0,9820.81,61929.76,3096.49,58833.27,57711.43,2090.06,59801.49,2336.24,-1214.4,102
339,MADHYA PRADESH,Sheopur,31760.05,649.17,0,13781.95,46191.17,4127.55,42063.62,14015.12,1337,15352.12,1781,26267.5,37
340,MADHYA PRADESH,Shivpuri,62231.56,3176.11,0,13329.33,78737,4450.25,74286.75,48341.24,3356.44,51697.68,4617.56,21327.95,70
341,MADHYA PRADESH,Sidhi,27564.01,598.9,3514.15,2689.5,34366.56,1699.42,32667.14,7180.12,2640.52,9820.64,3576,21911.02,30
342,MADHYA PRADESH,Singrauli,34125.66,728.73,0,2237.42,37091.81,1854.6,35237.21,8728.29,2488.1,11216.39,4170.79,22338.13,32
343,MADHYA PRADESH,Tikamgarh,41738.47,2681.19,0,10498.45,54918.11,2745.9,52172.21,35228.51,2830.15,38058.66,6032.89,10910.81,73
344,MADHYA PRADESH,Umaria,41465.73,366.13,5916.7,897.93,48646.49,2432.33,46214.16,3866.29,1377.94,5244.23,4024.6,38323.27,11
345,MADHYA PRADESH,Ujjain,78204.33,4718.53,0,18410.43,101333.29,5066.66,96266.63,87195.07,3048.53,90243.6,3805.04,5266.52,94
346,MADHYA PRADESH,Vidisha,76186.97,2296.53,0,10540.86,89024.36,4447.23,84577.13,46353.86,3406.81,49760.67,5648.52,32574.75,59
347,MAHARASHTRA,Ahmednagar,95601.25,14619.56,25412.14,52791.67,188424.63,9930.86,178493.77,133519.33,4833.4,138352.73,8745.35,43606.01,78
348,MAHARASHTRA,Akola,32424.47,1285.53,1758.83,7380.7,42849.53,2421.55,40427.98,16146.9,1413.58,17560.48,2819.79,21461.3,43
349,MAHARASHTRA,Amravati,61476.81,4823.3,7386.52,27917.95,101604.57,5080.23,96524.34,67495.7,2870.52,70366.22,5121,30229.26,73
350,MAHARASHTRA,Aurangabad,70006.92,5609.39,2662.69,33564.15,111843.14,5623.39,106219.76,77357.33,3288.67,80645.99,6426.51,23275.18,76
351,MAHARASHTRA,Beed,84481.01,7452.96,15607.3,29540.57,137081.84,6854.09,130227.75,65453.94,4896.46,70350.41,9792.92,54980.88,54
352,MAHARASHTRA,Bhandara,32769.93,5723.24,3904.41,13439.19,55836.77,3038.5,52798.27,19559.67,3185.41,22745.07,6296.92,26941.69,43
353,MAHARASHTRA,Buldhana,68227.36,5193.7,5542.8,20455.31,99419.17,4970.96,94448.21,64278.73,3565.94,67844.68,6841.92,24555.48,72
354,MAHARASHTRA,Chandrapur,101730.03,4723.36,0,5966.47,112419.86,5620.99,106798.86,10401.36,8332.02,18733.38,16664.04,79733.46,18
355,MAHARASHTRA,Dhule,49496.49,5622.81,0,19488.35,74607.65,4119.12,70488.53,34967.48,1786.61,36754.09,3520.35,32000.7,52
356,MAHARASHTRA,Gadchiroli,83840.67,1919.75,0,7379.27,93139.7,4656.98,88482.71,20553.49,3133.85,23687.34,6261.48,61667.74,27
357,MAHARASHTRA,Gondia,39321.46,6110.74,3209.05,17087.69,65728.95,3713.48,62015.47,12301.26,5960.03,18261.29,11920.06,37794.15,29
358,MAHARASHTRA,Hingoli,49296.06,1530.87,7211.48,36626.92,94665.33,4795.61,89869.73,36251.18,2062.52,38313.7,4125.04,49493.51,43
359,MAHARASHTRA,Jalgaon,93409.56,4810.23,4650.97,44126.46,146997.22,7442.41,139554.81,102010.44,4881.9,106892.33,8671.06,32554.95,77
